"V1" "V2"
"EOG400038" -2.57293304516282 -0.414439553227838
"EOG408KTH" 0.986091192633975 -2.18188861959378
"EOG40P2RK" -2.57293304516281 -0.414439553227832
"EOG40ZPGM" -2.90764563702706 1.86623737096073
"EOG415F0F" 1.68852391438099 -0.62261410105479
"EOG41JWZ3" 0.80947254108215 -0.199114081203636
"EOG41ZCX0" -0.767661397677605 -1.64816661636541
"EOG4254C9" 3.04318666136356 -0.261644142766548
"EOG42FR30" 0.502894976450097 -2.23778073245107
"EOG42NGKB" -2.57293304516281 -0.414439553227842
"EOG431ZJJ" -1.98252798170317 -1.84028963391915
"EOG43BK87" 2.7347271473479 -1.49560032635226
"EOG43R26B" -1.61937650670541 -0.737485177097042
"EOG43XSNM" 2.7677782669327 3.776287980333
"EOG447DDC" -0.767661397677604 -1.64816661636543
"EOG44J13J" -3.85598389323936 -1.76388168273556
"EOG44QRKQ" 0.441338221384828 0.561836739371463
"EOG4547HN" -2.57293304516281 -0.414439553227837
"EOG45DV8C" 2.76687358523325 -0.281917683261987
"EOG45QFZH" -2.33245415791608 1.40074848253049
"EOG4612NS" 0.075262176213993 1.76237815200078
"EOG46DJMM" 2.93716566183352 3.30274599100211
"EOG46Q5BR" 3.27279881747915 -0.821183861782748
"EOG470S2X" -2.57293304516281 -0.414439553227837
"EOG476HJ7" 0.344404724750817 -2.03044203809916
"EOG479CSS" 2.3934311953757 -0.308584398954509
"EOG47H48J" -2.57293304516281 -0.414439553227837
"EOG47SR0R" -3.57291874053927 1.50021821855344
"EOG480GGX" -0.597255391881418 1.79122057925233
"EOG489365" -3.83184760819315 -1.39468884120143
"EOG48GTP3" -1.46796494549929 -0.836861289984875
"EOG48PK4M" 0.986091192633922 -2.1818886195938
"EOG48W9MZ" -3.74827280018897 1.59414298967257
"EOG495XB5" -5.58910036749659 1.88051416436909
"EOG49GJ1H" 0.0657885846648268 0.457500993810504
"EOG49P8HR" -1.6511428744613 1.67940621881391
"EOG49W11S" -0.357250550230283 -4.38668033098001
"EOG4B8GZ9" 2.02396090399748 0.151428620142908
"EOG4BK3NV" 0.075262176213993 1.76237815200078
"EOG4BRV5B" 3.14251596824372 3.85915048396477
"EOG4C5B3F" 0.441338221384827 0.561836739371463
"EOG4CC2MR" -2.54724640375487 -0.753915762436848
"EOG4CNPBM" 4.59995082244554 4.43841857958702
"EOG4D257W" -2.57293304516281 -0.414439553227837
"EOG4D7WRW" -3.62467077540602 1.82730618924868
"EOG4DJHG2" -1.2218791886144 2.85971416452964
"EOG4DZ0DP" -2.57293304516281 -0.414439553227837
"EOG4FBGCB" -0.269612326431009 1.79226982032707
"EOG4FN333" -2.52085451294229 -1.98155352007405
"EOG4FTTKP" 2.25562827818535 2.52727706649801
"EOG4G1K2F" -0.216211928637932 6.16411973481242
"EOG4GB5R1" 2.66788862995852 -0.961380686204301
"EOG4GHX70" 0.986091192633922 -2.1818886195938
"EOG4GQNQ1" 2.86025695785831 -1.00239567981288
"EOG4GTHZZ" -1.26574217577204 -1.58806193382229
"EOG4H44NZ" -1.6511428744613 1.67940621881391
"EOG4HHMN7" -1.34063833069244 -2.97368839135331
"EOG4HT7CC" -2.56615164376041 -2.15546625278423
"EOG4J9KHT" -2.57293304516281 -0.414439553227837
"EOG4JM67H" 0.592327420701785 -2.55884337262107
"EOG4JWSZD" -2.57293304516281 -0.414439553227837
"EOG4K3JH1" 2.18312779435164 -1.54216188455421
"EOG4KH1DV" -1.56406152719362 1.51198320794452
